employee_id,store_id,name,role,salary,hire_date,performance_score,satisfaction_score
E001,S001,Stefan Toma,Store Manager,6908,2022-07-14,5.4,3.4
E002,S001,Eduard Stoica,Shift Manager,4982,2023-01-26,8.3,6.1
E003,S001,Camelia Marin,Shift Manager,5097,2022-06-08,8.0,5.3
E004,S001,Cristina Florea,Baker,3884,2022-11-20,3.5,3.0
E005,S001,Nicoleta Dumitru,Barista,3498,2022-01-15,4.5,6.8
E006,S001,Stefan Ionescu,Barista,2954,2022-03-12,8.2,2.2
E007,S001,Adriana Neagu,Barista,3602,2022-01-15,8.4,3.1
E008,S001,Silviu Preda,Barista,3587,2022-07-31,7.9,8.7
E009,S002,Florin Radu,Store Manager,6534,2023-02-10,5.0,
E010,S002,Monica Badea,Shift Manager,4694,2022-05-18,5.7,7.1
E011,S002,Marian Neagu,Baker,4633,2022-05-30,4.9,6.5
E012,S002,Sorin Tudor,Barista,3525,2022-09-21,8.7,3.2
E013,S003,Alin Serban,Store Manager,6482,2023-04-04,,8.1
E014,S003,Octavian Ionescu,Shift Manager,5008,2023-05-12,7.6,9.0
E015,S003,Robert Serban,Shift Manager,5483,2022-11-14,9.0,7.0
E016,S003,Cristina Tanase,Baker,4144,2023-03-14,5.5,9.5
E017,S003,George Badea,Barista,3570,2022-10-21,9.8,4.1
E018,S003,Razvan Gheorghe,Barista,3255,2023-07-03,7.0,2.3
E019,S003,Ion Cristea,Barista,3602,2022-07-08,4.4,7.0
E020,S003,Ioana Badea,Barista,3515,2023-07-08,9.5,3.3
E021,S004,Maria Ionescu,Store Manager,6284,2022-11-23,4.2,4.3
E022,S004,Alexandru Florea,Shift Manager,5211,2023-05-19,7.4,3.1
E023,S004,Vlad Mocanu,Shift Manager,5487,2023-05-04,8.4,6.9
E024,S004,Eduard Florea,Baker,4641,2023-07-11,7.4,8.3
E025,S004,Raluca Dragomir,Baker,4701,2023-08-29,4.9,8.8
E026,S004,Gabriel Stan,Barista,3264,2023-07-19,7.3,8.1
E027,S004,Gabriel Ionescu,Barista,3471,2023-08-06,7.8,6.3
E028,S004,Sorin Florea,Barista,3069,2023-09-10,3.4,2.9
E029,S004,Adriana Constantin,Barista,3284,2023-06-09,7.6,8.3
E030,S004,Ionut Toma,Barista,3163,2023-12-10,,3.4
E031,S004,Sebastian Gheorghe,Barista,3047,2023-07-19,9.1,2.8
E032,S005,Valentina Cristea,Store Manager,5902,2022-07-28,6.8,7.3
E033,S005,Gabriel Stoica,Shift Manager,5164,2022-08-17,9.2,5.6
E034,S005,Dragos Matei,Baker,4718,2023-06-27,5.7,9.5
E035,S005,Maria Sandu,Barista,3452,2023-07-24,,6.1
E036,S005,Irina Dumitru,Barista,3383,2023-04-04,8.2,9.0
E037,S005,Teodora Sandu,Barista,3189,2023-03-29,5.2,8.8
E038,S006,Carmen Gheorghe,Store Manager,7154,2023-03-05,6.1,4.7
E039,S006,Camelia Badea,Shift Manager,5337,2022-12-18,6.8,7.7
E040,S006,Octavian Gheorghe,Baker,4704,2023-02-24,4.3,8.1
E041,S006,Andrei Rusu,Barista,3045,2023-03-20,3.6,3.6
E042,S006,Eduard Sandu,Barista,2904,2022-12-31,3.2,9.9
E043,S006,Valentina Matei,Barista,3326,2022-06-10,8.7,
E044,S006,Corina Tanase,Barista,3316,2023-07-10,3.5,2.4
E045,S007,Ion Serban,Store Manager,7186,2023-11-12,5.6,7.9
E046,S007,Oana Matei,Shift Manager,5419,2023-06-02,9.3,6.5
E047,S007,Corina Toma,Baker,4599,2023-10-25,8.8,2.4
E048,S007,Florin Badea,Barista,3644,2023-05-19,9.0,9.5
E049,S007,Oana Lupu,Barista,3477,2023-02-25,3.3,8.7
E050,S007,Mihaela Ciobanu,Barista,3559,2023-08-17,,9.3
E051,S007,Oana Preda,Barista,3464,2023-11-09,6.0,9.2
E052,S008,Alin Barbu,Store Manager,6907,2024-01-25,6.8,4.2
E053,S008,Ana Popescu,Baker,4012,2024-03-20,4.2,8.3
E054,S008,George Vasilescu,Barista,3444,2023-12-23,6.9,8.8
E055,S009,Simona Florea,Store Manager,6477,2023-08-11,8.0,7.6
E056,S009,Teodora Marin,Shift Manager,5470,2024-03-27,8.9,7.4
E057,S009,Bianca Nistor,Shift Manager,5199,2023-10-23,7.0,4.5
E058,S009,Camelia Voicu,Baker,4177,2024-05-17,7.3,7.6
E059,S009,Ioana Ene,Barista,3115,2024-03-06,,7.0
E060,S009,Ciprian Gheorghe,Barista,3002,2023-09-27,6.8,5.5
E061,S009,Ana Moldovan,Barista,3650,2023-12-30,7.7,8.5
E062,S009,Alexandru Barbu,Barista,3380,2024-05-10,7.8,3.8
E063,S009,Cristina Preda,Barista,2881,2024-08-19,3.5,2.4
E064,S010,Alin Lupu,Store Manager,6325,2023-03-10,5.8,4.3
E065,S010,Gabriela Diaconu,Baker,3807,2023-11-18,6.8,7.0
E066,S010,Tudor Florea,Barista,3646,2023-04-14,9.1,
E067,S011,Mihai Popa,Store Manager,6048,2025-03-19,3.0,
E068,S011,Gabriel Toma,Shift Manager,4852,2025-01-18,4.7,3.6
E069,S011,Nicoleta Constantin,Shift Manager,5329,2024-12-20,7.2,9.2
E070,S011,Daniel Diaconu,Baker,4197,2025-09-21,8.3,8.2
E071,S011,Vlad Vasilescu,Barista,3410,2025-01-08,8.4,9.6
E072,S011,Liviu Ciobanu,Barista,2943,2025-05-26,5.8,7.9
E073,S011,Maria Mocanu,Barista,3083,2025-08-04,9.8,3.4
E074,S011,Victor Ionescu,Barista,3355,2025-04-09,8.1,3.6
E075,S012,Alin Popescu,Store Manager,6204,2025-06-16,8.9,6.0
E076,S012,Eduard Popa,Baker,4465,2025-06-27,5.0,6.4
E077,S012,Maria Sandu,Barista,3135,2025-03-19,5.5,4.0
E078,S013,Adrian Gheorghe,Store Manager,6514,2025-01-04,3.8,3.8
E079,S013,Bianca Tudor,Shift Manager,4775,2024-10-29,5.3,6.0
E080,S013,Carmen Ciobanu,Shift Manager,5068,2024-09-04,5.1,6.9
E081,S013,Mihaela Stan,Baker,4031,2024-12-14,6.9,4.1
E082,S013,Nicoleta Moldovan,Barista,2909,2025-05-13,5.6,5.8
E083,S013,Oana Ciobanu,Barista,3225,2025-04-05,3.4,8.1
E084,S013,Teodora Gheorghe,Barista,3162,2025-06-14,9.6,7.2
E085,S013,Gabriela Gheorghe,Barista,3210,2025-01-26,9.3,5.2
E086,S013,Octavian Tanase,Barista,3188,2024-05-30,,8.4
E087,S014,Ioana Neagu,Store Manager,6743,2024-03-02,4.2,9.2
E088,S014,Alin Popescu,Shift Manager,4560,2025-01-06,4.7,
E089,S014,Irina Stan,Shift Manager,5184,2024-07-30,4.5,7.5
E090,S014,Mihaela Munteanu,Baker,4406,2024-04-13,,5.9
E091,S014,Emilia Dobre,Barista,3393,2024-01-24,4.9,5.1
E092,S014,Denisa Constantin,Barista,3103,2024-02-13,7.5,6.5
E093,S014,Oana Diaconu,Barista,3060,2024-12-06,8.6,9.7
E094,S014,Monica Popescu,Barista,3461,2025-01-07,4.4,4.6
E095,S014,Gabriela Tanase,Barista,2885,2024-08-27,5.4,2.9
E096,S015,Laura Toma,Store Manager,5998,2025-04-18,4.9,2.4
E097,S015,Ciprian Tudor,Shift Manager,5034,2025-01-26,8.6,3.5
E098,S015,Catalin Lazar,Baker,4537,2025-04-17,,
E099,S015,Cristian Ionescu,Barista,2998,2025-06-22,6.1,2.9
E100,S015,Denisa Preda,Barista,3055,2025-08-07,6.5,2.5
E101,S015,Diana Rusu,Barista,2995,2025-12-09,5.4,3.3
E102,S015,Marian Marin,Barista,3064,2024-12-27,7.4,9.4
